NPs,Hsf,Ec,Ev,MeO,enthalpy,ratio,e,esum,esumbyo,MW,NMetal,NOxygen,ox
Al2O3,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3
CuO,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2
Fe2O3,-8.512,-4.99,-6.99,5.98,1363.4,5.455,1.83,3.66,1.22,159.6,2,3,3
TiO2,-9.779,-4.16,-7.49,5.77,1575.73,6.557,1.54,1.54,0.77,79.86,1,2,4
ZnO,-3.608,-3.89,-7.2,5.67,662.44,2.703,1.65,1.65,1.65,81.38,1,1,2
